discente,ano,turma,texto,respostas,data,tempo_inicial,tempo_final,lemma_pos,avaliacao_lacunas,percentual_acerto,compreensao,velocidade
EST_008,6,B,O uso dos celulares por crianças,"['Brinca', 'jogos', 'Bom', 'do', 'para', 'ter', 'brincadeiras', 'também', 'importa', 'celular', 'de', 'filhos', 'casa', 'são', 'brincadeiras', 'mal', 'dor', 'e', 'tempo', 'os', 'aparelho', 'as', 'da', 'o', 'internet', 'tem', 'aplicativo', 'e', 'a', 'as', 'aplicativo', 'a', 'Bem', 'é', 'com', 'precisa', 'do', 'ter']",29-02-2024,08:00,08:13,"[('Brinca', 'PROPN'), ('jogo', 'NOUN'), ('bom', 'ADV'), ('de o', 'ADP'), ('para', 'ADP'), ('ter', 'VERB'), ('brincadeira', 'NOUN'), ('também', 'ADV'), ('importar', 'VERB'), ('celular', 'NOUN'), ('de', 'ADP'), ('filho', 'NOUN'), ('casa', 'NOUN'), ('ser', 'AUX'), ('brincadeira', 'NOUN'), ('mal', 'ADV'), ('dor', 'NOUN'), ('e', 'CCONJ'), ('tempo', 'NOUN'), ('o', 'DET'), ('aparelho', 'NOUN'), ('o', 'DET'), ('de o', 'ADP'), ('o', 'DET'), ('Internet', 'PROPN'), ('ter', 'VERB'), ('aplicativo', 'NOUN'), ('e', 'CCONJ'), ('a', 'ADP'), ('o', 'DET'), ('aplicativo', 'NOUN'), ('a', 'ADP'), ('bem', 'ADV'), ('ser', 'AUX'), ('com', 'ADP'), ('precisar', 'VERB'), ('de o', 'ADP'), ('ter', 'VERB')]","[0, 0.996, 0, 1, 1, 0.64, 0, 0, 0, 1, 0, 1, 1, 1, 0.484, 0, 1.0, 0, 0.765, 0.517, 0.982, 1, 1, 0, 0, 0, 0.976, 0, 1, 0, 0.985, 1, 0.804, 0, 0, 0.994, 0.5, 0.517]",26.31578947368421,53.053115214172166,13.0
EST_015,6,A,O uso dos celulares por crianças,"['hoje', 'riscos', 'por', 'do', 'para', 'acesar', 'que', 'se', 'estão', 'celular', 'uma', 'filhos', 'casa', 'são', 'usar', 'danos', 'dor', 'problema', 'risco', '-', 'uso', 'as', 'da', 'pessoas', 'comteudos', 'responsabilidade', '-', 'usados', 'a', 'olhar', 'pessoas', 'a', 'no', 'pode', 'que', 'presisão', 'o', 'melhorar']",29-02-2024,08:03,08:27,"[('hoje', 'ADV'), ('risco', 'NOUN'), ('por', 'ADP'), ('de o', 'ADP'), ('para', 'ADP'), ('acesar', 'NOUN'), ('que', 'SCONJ'), ('se', 'SCONJ'), ('estar', 'AUX'), ('celular', 'NOUN'), ('um', 'DET'), ('filho', 'NOUN'), ('casa', 'NOUN'), ('ser', 'AUX'), ('usar', 'VERB'), ('dano', 'NOUN'), ('dor', 'NOUN'), ('problema', 'NOUN'), ('risco', 'NOUN'), ('-', 'PUNCT'), ('uso', 'NOUN'), ('o', 'DET'), ('de o', 'ADP'), ('pessoa', 'NOUN'), ('comteudo', 'ADJ'), ('responsabilidade', 'NOUN'), ('-', 'PUNCT'), ('usar', 'VERB'), ('a', 'ADP'), ('olhar', 'VERB'), ('pessoa', 'NOUN'), ('a', 'ADP'), ('em o', 'ADP'), ('poder', 'VERB'), ('que', 'SCONJ'), ('presisão', 'NOUN'), ('o', 'DET'), ('melhorar', 'VERB')]","[0.508, 0.946, 0.667, 1, 1, 0.833, 1, 1, 1, 1, 1, 1, 1, 1, 0.5, 0.978, 1.0, 0, 0.761, 0, 0.717, 1, 1, 0, 0.778, 0, 0, 1, 1, 0.889, 0.994, 1, 0, 1, 0, 0, 1, 0.994]",47.368421052631575,72.53572671472678,24.0
EST_018,6,A,O uso dos celulares por crianças,"['mas', 'demais', 'de', 'de', 'para', 'ver', 'que', 'se', 'estão', 'celular', 'uma', 'filhos', 'serie', 'são', 'uso', 'problemas', 'dor', 'como', 'uso', 'regras', 'uso', 'as', 'da', 'pessoas', 'sites', 'e', 'possuir', 'e', 'a', 'as', 'aplicativos', 'a', 'com', 'pode', 'necessário', 'devem', 'o', 'a']",29-02-2024,08:03,08:17,"[('mas', 'CCONJ'), ('demais', 'ADV'), ('de', 'ADP'), ('de', 'ADP'), ('para', 'ADP'), ('ver', 'VERB'), ('que', 'SCONJ'), ('se', 'SCONJ'), ('estar', 'AUX'), ('celular', 'NOUN'), ('um', 'DET'), ('filho', 'NOUN'), ('serie', 'NOUN'), ('ser', 'AUX'), ('uso', 'NOUN'), ('problema', 'NOUN'), ('dor', 'NOUN'), ('como', 'ADP'), ('uso', 'NOUN'), ('regra', 'NOUN'), ('uso', 'NOUN'), ('o', 'DET'), ('de o', 'ADP'), ('pessoa', 'NOUN'), ('site', 'NOUN'), ('e', 'CCONJ'), ('possuir', 'VERB'), ('e', 'CCONJ'), ('a', 'ADP'), ('o', 'DET'), ('aplicativo', 'NOUN'), ('a', 'ADP'), ('com', 'ADP'), ('poder', 'VERB'), ('necessário', 'ADJ'), ('dever', 'VERB'), ('o', 'DET'), ('a', 'ADP')]","[0, 0, 0.527, 0.5, 1, 0.967, 1, 1, 1, 1, 1, 1, 0.986, 1, 1, 1, 1.0, 0.957, 0.92, 0, 0.717, 1, 1, 0, 0.912, 0, 0, 0, 1, 0, 0.985, 1, 0, 1, 0.955, 1, 1, 0]",44.73684210526316,69.53911750724441,14.0
EST_023,6,B,O uso dos celulares por crianças,"['mais', 'perigo', '-', 'do', 'para', 'ver', 'e', 'permite', 'estão', 'dispositivo', 'novas', 'filhos', 'controle', 'são', '-', 'problemas', 'dor', 'e', 'isolamento', 'a', '-', 'as', 'da', 'amigo', 'coisas', '-', '-', 'improprios', '-', '-', '-', 'a', 'e', 'pode', 'para', 'tem', 'o', 'boua']",29-02-2024,08:00,08:30,"[('mais', 'ADV'), ('perigo', 'NOUN'), ('-', 'PUNCT'), ('de o', 'ADP'), ('para', 'ADP'), ('ver', 'VERB'), ('e', 'CCONJ'), ('permitir', 'VERB'), ('estar', 'AUX'), ('dispositivo', 'NOUN'), ('novo', 'ADJ'), ('filho', 'NOUN'), ('controle', 'NOUN'), ('ser', 'AUX'), ('-', 'PUNCT'), ('problema', 'NOUN'), ('dor', 'NOUN'), ('e', 'CCONJ'), ('isolamento', 'NOUN'), ('a', 'ADP'), ('-', 'PUNCT'), ('o', 'DET'), ('de o', 'ADP'), ('amigo', 'NOUN'), ('coisa', 'NOUN'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('improprio', 'ADJ'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('a', 'ADP'), ('e', 'CCONJ'), ('poder', 'VERB'), ('para', 'ADP'), ('ter', 'VERB'), ('o', 'DET'), ('boua', 'NOUN')]","[0.98, 0.975, 0, 1, 1, 0.967, 0, 0, 1, 0.602, 0, 1, 0.934, 1, 0, 1, 1.0, 0, 1, 0, 0, 1, 1, 0, 0.98, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0.584, 1, 0]",31.57894736842105,50.06065638441788,30.0
EST_024,6,A,O uso dos celulares por crianças,"['proximos', 'amigos', 'parentes', 'do', 'para', 'ver', 'legais', 'para', 'moram', 'celular', 'para', 'celulares', 'casa', 'não', 'celular', 'ploblemas', 'dor', 'na', 'educação', 'os', 'plomema', 'as', 'da', 'o', 'sites', 'devem', 'sites', 'que', 'a', 'as', 'pessoas', 'a', 'do', 'pode', 'tem', 'tem', 'o', 'a']",29-02-2024,08:03,08:24,"[('proximo', 'ADJ'), ('amigo', 'NOUN'), ('parente', 'NOUN'), ('de o', 'ADP'), ('para', 'ADP'), ('ver', 'VERB'), ('legal', 'ADJ'), ('para', 'ADP'), ('morar', 'VERB'), ('celular', 'NOUN'), ('para', 'ADP'), ('celular', 'NOUN'), ('casa', 'NOUN'), ('não', 'ADV'), ('celular', 'NOUN'), ('ploblema', 'NOUN'), ('dor', 'NOUN'), ('em o', 'ADP'), ('educação', 'NOUN'), ('o', 'DET'), ('plomema', 'NOUN'), ('o', 'DET'), ('de o', 'ADP'), ('o', 'DET'), ('site', 'NOUN'), ('dever', 'VERB'), ('site', 'NOUN'), ('que', 'SCONJ'), ('a', 'ADP'), ('o', 'DET'), ('pessoa', 'NOUN'), ('a', 'ADP'), ('de o', 'ADP'), ('poder', 'VERB'), ('ter', 'VERB'), ('ter', 'VERB'), ('o', 'DET'), ('a', 'ADP')]","[0, 0.989, 0, 1, 1, 0.967, 0, 0, 0, 1, 0, 0.742, 1, 0.667, 0.898, 0.889, 1.0, 0.696, 0.799, 0.517, 0.914, 1, 1, 0, 0.912, 0, 0.966, 0, 1, 0, 0.994, 1, 0, 1, 0, 0.584, 1, 0]",26.31578947368421,59.29863535347041,21.0
EST_026,6,B,O uso dos celulares por crianças,"['e', 'livros', 'por', 'do', 'para', 'assistir', 'celular', 'ajudam', 'estão', 'celular', 'uma', 'filhos', 'casa', 'são', 'tela', 'problemas', 'dor', 'de', 'rede', 'com', 'perigos', 'as', 'a', 'rede', '-', 'das', 'filho', 'ruim', 'a', 'outro', 'negocios', 'as', 'celular', 'pode', 'possivel', 'tem', 'o', 'segurança']",29-02-2024,08:00,08:22,"[('e', 'CCONJ'), ('livro', 'NOUN'), ('por', 'ADP'), ('de o', 'ADP'), ('para', 'ADP'), ('assistir', 'VERB'), ('celular', 'NOUN'), ('ajudar', 'VERB'), ('estar', 'AUX'), ('celular', 'NOUN'), ('um', 'DET'), ('filho', 'NOUN'), ('casa', 'NOUN'), ('ser', 'AUX'), ('tela', 'NOUN'), ('problema', 'NOUN'), ('dor', 'NOUN'), ('de', 'ADP'), ('rede', 'NOUN'), ('com', 'ADP'), ('perigo', 'NOUN'), ('o', 'DET'), ('a', 'ADP'), ('rede', 'NOUN'), ('-', 'PUNCT'), ('de o', 'ADP'), ('filho', 'NOUN'), ('ruim', 'ADJ'), ('a', 'ADP'), ('outro', 'DET'), ('negocio', 'NOUN'), ('o', 'DET'), ('celular', 'NOUN'), ('poder', 'VERB'), ('possivel', 'ADJ'), ('ter', 'VERB'), ('o', 'DET'), ('segurança', 'NOUN')]","[0, 0.729, 0.667, 1, 1, 0.945, 0, 0, 1, 1, 1, 1, 1, 1, 0.631, 1, 1.0, 1, 0.927, 0, 0.97, 1, 0.9, 0, 0, 0, 0.973, 0, 1, 0, 0.993, 0.5, 0, 1, 0.896, 0.584, 1, 0]",39.473684210526315,65.04068811734518,22.0
EST_036,6,B,O uso dos celulares por crianças,"['mais', 'benefícios', 'tem', 'de', 'para', 'ver', 'que', 'se', 'estão', 'uso', 'de', 'filhos', 'hora', 'são', 'uso', 'defeitos', 'dor', 'como', 'ante', 'os', 'uso', 'todas', 'da', 'desconhecidos', 'saites', 'delas', 'uso', 'usados', 'a', 'todas', 'perigos', 'essa', 'Porém', 'pode', 'importante', 'podem', 'o', 'toda']",29-02-2024,08:00,08:24,"[('mais', 'ADV'), ('benefício', 'NOUN'), ('ter', 'VERB'), ('de', 'ADP'), ('para', 'ADP'), ('ver', 'VERB'), ('que', 'SCONJ'), ('se', 'SCONJ'), ('estar', 'AUX'), ('uso', 'NOUN'), ('de', 'ADP'), ('filho', 'NOUN'), ('hora', 'NOUN'), ('ser', 'AUX'), ('uso', 'NOUN'), ('defeito', 'NOUN'), ('dor', 'NOUN'), ('como', 'ADP'), ('ante', 'ADV'), ('o', 'DET'), ('uso', 'NOUN'), ('todo', 'DET'), ('de o', 'ADP'), ('desconhecir', 'VERB'), ('saite', 'NOUN'), ('de elas', 'PRON'), ('uso', 'NOUN'), ('usar', 'VERB'), ('a', 'ADP'), ('todo', 'DET'), ('perigo', 'NOUN'), ('esse', 'DET'), ('porém', 'ADV'), ('poder', 'VERB'), ('importante', 'ADJ'), ('poder', 'VERB'), ('o', 'DET'), ('todo', 'DET')]","[0.98, 0.991, 0, 0.5, 1, 0.967, 1, 1, 1, 0.898, 0, 1, 0.516, 1, 1, 0.979, 1.0, 0.957, 0, 0.517, 0.717, 0.492, 1, 0, 0.97, 0, 0.692, 1, 1, 0, 0.979, 0, 0.827, 1, 1, 0.995, 1, 0]",34.21052631578947,70.99482791988474,24.0
EST_038,6,A,O uso dos celulares por crianças,"['-', '-', '-', '-', '-', '-', '-', '-', '-', 'celular', '-', '-', '-', '-', '-', '-', 'dor', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'a', '-', '-', '-', '-', '-', '-']",29-02-2024,08:03,08:11,"[('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('celular', 'NOUN'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('dor', 'NOUN'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('a', 'ADP'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT')]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",5.263157894736842,7.894736653880069,8.0
EST_048,6,A,O uso dos celulares por crianças,"['e', 'livros', 'de', 'de', 'para', 'conhecer', 'que', 'conseguir', 'são', 'celular', 'uma', 'aparelhos', 'casa', 'serão', 'telas', 'problemas', 'dor', 'e', 'problema', 'os', 'conteúdo', 'as', 'na', 'desconhecidos', 'links', 'precisam', 'acesso', 'acessam', 'a', 'ver', 'públicos', 'a', 'e', 'podem', 'preciso', 'precisam', 'o', 'ter']",29-02-2024,08:03,08:16,"[('e', 'CCONJ'), ('livro', 'NOUN'), ('de', 'ADP'), ('de', 'ADP'), ('para', 'ADP'), ('conhecer', 'VERB'), ('que', 'SCONJ'), ('conseguir', 'VERB'), ('ser', 'AUX'), ('celular', 'NOUN'), ('um', 'DET'), ('aparelho', 'NOUN'), ('casa', 'NOUN'), ('ser', 'AUX'), ('tela', 'NOUN'), ('problema', 'NOUN'), ('dor', 'NOUN'), ('e', 'CCONJ'), ('problema', 'NOUN'), ('o', 'DET'), ('conteúdo', 'NOUN'), ('o', 'DET'), ('em o', 'ADP'), ('desconhecir', 'VERB'), ('link', 'NOUN'), ('precisar', 'VERB'), ('acesso', 'NOUN'), ('acessar', 'VERB'), ('a', 'ADP'), ('ver', 'VERB'), ('público', 'ADJ'), ('a', 'ADP'), ('e', 'CCONJ'), ('poder', 'VERB'), ('preciso', 'ADJ'), ('precisar', 'VERB'), ('o', 'DET'), ('ter', 'VERB')]","[0, 0.729, 0.527, 0.5, 1, 0.985, 1, 0, 0.953, 1, 1, 0.979, 1, 0.6, 0.631, 1, 1.0, 0, 0.683, 0.517, 0.945, 1, 0.5, 0, 0.523, 0, 0.983, 0.636, 1, 0.667, 0, 1, 0, 0.8, 0.925, 0.994, 1, 0.517]",26.31578947368421,67.35439423144909,13.0
EST_051,6,A,O uso dos celulares por crianças,"['e', '-', '-', 'do', '-', 'ver', '-', '-', '-', 'celular', '-', 'filhos', 'casa', '-', '-', '-', '-', '-', '-', 'os', 'aplicativo', 'as', 'da', '-', 'sites', 'pode', '-', 'impróprios', 'a', '-', '-', 'a', '-', 'pode', '-', 'podem', 'o', 'manter']",29-02-2024,08:03,08:22,"[('e', 'CCONJ'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('de o', 'ADP'), ('-', 'PUNCT'), ('ver', 'VERB'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('celular', 'NOUN'), ('-', 'PUNCT'), ('filho', 'NOUN'), ('casa', 'NOUN'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('o', 'DET'), ('aplicativo', 'NOUN'), ('o', 'DET'), ('de o', 'ADP'), ('-', 'PUNCT'), ('site', 'NOUN'), ('poder', 'VERB'), ('-', 'PUNCT'), ('impróprio', 'ADJ'), ('a', 'ADP'), ('-', 'PUNCT'), ('-', 'PUNCT'), ('a', 'ADP'), ('-', 'PUNCT'), ('poder', 'VERB'), ('-', 'PUNCT'), ('poder', 'VERB'), ('o', 'DET'), ('manter', 'VERB')]","[0, 0, 0, 1, 0, 0.967, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0.517, 0.961, 1, 1, 0, 0.912, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0.995, 1, 0.525]",26.31578947368421,39.15293677857047,19.0
